"startpoint";"replicata_export_date";"parent";"id";"type";"title";"description"
"Start point";"Export date";"Parent";"Identifier";"Content type";"Title";"Description"
;;;"airliquidesa";"OrganisationTerm";"AIR LIQUIDE SA";"<p>Rue de la Corderie, n° 22<br />6061 MONTIGNIES-SUR-SAMBRE</p>"
;;;"ccatm";"OrganisationTerm";"CCATM";"<p>Monsieur CHEVALIER<br />Rue du 11 Novembre, <br />7000 MONS</p>"
;;;"celluleenvironnement";"OrganisationTerm";"Cellule Environnement";"<p>Madame MALBRECQ<br />Rue du Miroir, n° 18<br />7000 MONS</p>"
;;;"commission-royale-des-monuments-sites-fouilles";"OrganisationTerm";"COMMISSION ROYALE DES MONUMENTS SITES ET FOUILLES";"<p>Place du Béguinages , n° 16<br />7000 MONS</p>"
;;;"crat";"OrganisationTerm";"CRAT";"<p>Rue du Vertbois, n° 13C<br />4000 LIEGE</p>"
;;;"cwedd";"OrganisationTerm";"CWEDD";"<p>Rue du Vertbois, n° 13C<br />4000 LIEGE</p>"
;;;"elia";"OrganisationTerm";"ELIA";"<p>Avenue Albert 1er , n° 19<br />5000 NAMUR</p>"
;;;"fluxys";"OrganisationTerm";"FLUXYS";"<p>Monsieur VANDEREID<br />Avenue des Arts, n° 31<br />1040 BRUXELLES</p>"
;;;"hainautingenierietechnique";"OrganisationTerm";"HAINAUT INGENIERIE TECHNIQUE";"<p>Messieurs VICENZUTTO-CARPIAUX<br />Rue de Pâturages, n° 74<br />7390 QUAREGNON</p>"
;;;"hainautingenierietechnique2";"OrganisationTerm";"HAINAUT INGENIERIE TECHNIQUE";"<p>Monsieur BOIGELOT<br />Rue de Pâturages, n° 74<br />7390 QUAREGNON</p>"
;;;"idea";"OrganisationTerm";"IDEA";"<p>Monsieur TIRLOCQ<br />Rue de Nimy, n° 53<br />7000 MONS</p>"
;;;"idemls";"OrganisationTerm";"IDEMLS";"<p>Avenue Gouverneur Cornez, n° 31<br />7000 MONS</p>"
;;;"infrabel-patrimoine-gares-biens-immobiliers";"OrganisationTerm";"INFRABEL - C.A. Patrimoine - Gares et Biens Immobiliers";"<p>Monsieur SPINA<br />Quai de Flandre, n° 2<br />6000 CHARLEROI</p>"
;;;"intercommunaleambroisepare";"OrganisationTerm";"INTERCOMMUNALE AMBROISE PARE";"<p>Monsieur PIERRARD<br />Chemin du Chêne aux Haies, n° 24<br />7000 MONS</p>"
;;;"natagoraasbl";"OrganisationTerm";"NATAGORA ASBL";"<p>Madame POSKIN<br />Rue du Winsconsin, n° 3<br />5000 NAMUR</p>"
;;;"officewallondes dechets";"OrganisationTerm";"OFFICE WALLON DES DECHETS";"<p>Avenue Prince de Liège , n° 15<br />5100 JAMBES</p>"
;;;"ores";"OrganisationTerm";"ORES";"<p>Avenue du Pass, n° 1<br />7080 FRAMERIES</p>"
;;;"otan";"OrganisationTerm";"OTAN";
;;;"policeadministrative";"OrganisationTerm";"POLICE ADMINISTRATIVE";"<p>Rue du Grand Jour, n° 20<br />7000 MONS</p>"
;;;"swde";"OrganisationTerm";"S.W.D.E.";"<p>Digue de Cuesmes , n° 29<br />7000 MONS</p>"
;;;"serviceincendie";"OrganisationTerm";"SERVICE INCENDIE";"<p>Madame DA CUNHA<br />Rue des Sandrinettes, n° 29<br />7033 CUESMES </p>"
;;;"serviceincendie-ressources-eau ";"OrganisationTerm";"SERVICE INCENDIE (ressources en eau) ";"<p>Madame LACHAT<br />Rue des Sandrinettes , n° 29<br />7033 CUESMES</p>"
;;;"serviceplantations";"OrganisationTerm";"SERVICE PLANTATIONS";"<p>Monsieur  HOTCHAMP<br />Rue Henri Dunant, n° 187<br />7000 MONS</p>"
;;;"societederecherche-prehistorique";"OrganisationTerm";"SOCIETE DE RECHERCHE PREHISTORIQUE EN HAINAUT";"<p>Chaussée du Roeulx, n° 16<br />7000 MONS</p>"
;;;"srwt";"OrganisationTerm";"Société Régionale Wallonie des Transports - SRWT";"<p>Avenue Gouverneur Bovesse , n° 96<br />5100 JAMBES</p>"
;;;"societe-wallonne-du-logement";"OrganisationTerm";"SOCIETE WALLONNE DU LOGEMENT- 'Petite Propriété Terrienne'";"<p>Monsieur DION<br />Rue de l'Ecluse, n° 21<br />6000 CHARLEROI</p>"
