"startpoint";"replicata_export_date";"parent";"id";"type";"title"
"Start point";"Export date";"Parent";"Identifier";"Content type";"Title"
;;;"annexe-20";"UrbanVocabularyTerm";"3 exemplaires de demande de permis d’urbanisme (annexe 20) signés par le demandeur"
;;;"annexes-21-22";"UrbanVocabularyTerm";"3 exemplaires des annexes 21 et 22 (minimum 2 avec le sceau de l’ordre des architectes) signés par l’architecte"
;;;"reportage-photo";"UrbanVocabularyTerm";"3 jeux du reportage photographique prescrit à l’article 285b du CWATUPE (photos numérotées + report des différents endroits de prise de vue des photos sur le plan de situation)"
;;;"plans";"UrbanVocabularyTerm";"6 jeux de plans minimum (en cas de transformation, la distinction doit être faite entre la situation initiale et future) signés par le demandeur et l’architecte"
;;;"notice-prealable";"UrbanVocabularyTerm";"3 exemplaires de la notice préalable des incidences sur l’environnement signés par le demandeur et l’architecte"
;;;"plan-de-secteur";"UrbanVocabularyTerm";"3 exemplaires du plan de secteur en couleur "
;;;"stats-modele1-modele2";"UrbanVocabularyTerm";"2 exemplaires du formulaire statistique modèle I et II signés par le demandeur et l’architecte"
;;;"stats-ville-de-mons";"UrbanVocabularyTerm";"2 exemplaires du formulaire statistique Ville de Mons signés par le demandeur et l’architecte"
;;;"rapport-gw-18062009";"UrbanVocabularyTerm";"3 exemplaires du rapport conforme à l’arrêté du G.W. du 18/06/2009 publié au Moniteur Belge le 09/09/2009 signé par le demandeur et l’architecte"
;;;"certificat-patrimoine";"UrbanVocabularyTerm";"3 exemplaires de certificat de patrimoine pour tout immeuble inscrit sur une liste de sauvegarde, classé ou soumis provisoirement aux effets du classement (art. 204 du CWATUP)"
;;;"engagement-peb";"UrbanVocabularyTerm";"3 exemplaires du formulaire d’engagement PEB et/ou le formulaire 1 et/ou le formulaire 2 à télécharger sur le site « www.energie.wallonie.be » (Art. 566, 568, 572 et 576 du CWATUPE) "
;;;"securite-incendie";"UrbanVocabularyTerm";"3 exemplaires de l’étude de sécurité incendie"
;;;"extrait-cadastral";"UrbanVocabularyTerm";"3 exemplaires de l’extrait cadastral avec un rayon de 50 m (si enquête)"
;;;"liste-proprio";"UrbanVocabularyTerm";"3 exemplaires de la liste des propriétaires  (si enquête)"
;;;"vue-axono";"UrbanVocabularyTerm";"3 exemplaires de la vue axonométrique  (si enquête)"
;;;"lettre-motivation";"UrbanVocabularyTerm";"3 exemplaires de la lettre de motivation des dérogations  signés par le demandeur et l’architecte (seront inclus au rapport conforme à l’arrêté du G.W. du 18/06/2009 susvisé)  (si enquête)"
;;;"demande-societe";"UrbanVocabularyTerm";"Demande de permis d’urbanisme introduite par une société : nom, prénom et coordonnées d’un administrateur délégué mandaté par ladite société"
;;;"transfo-stats-plans";"UrbanVocabularyTerm";"Transformation, extension, ou reconstruction partielle :  formulaire statistique Ville de Mons destiné au cadastre + jeu de plans supplémentaire"
;;;"emplacement-cachet";"UrbanVocabularyTerm";"Sur tous les cartouches, un emplacement destiné à recevoir le cachet et les signatures authentifiant les plans"
;;;"libelle-travaux";"UrbanVocabularyTerm";"Le libellé des travaux projetés doit être le plus précis possible et figurer à l’identique sur chaque plan et formulaire"
;;;"documents-signatures";"UrbanVocabularyTerm";"Chaque document doit être signé par l’auteur du projet et l’architecte"
