"startpoint";"replicata_export_date";"parent";"id";"type";"title"
"Start point";"Export date";"Parent";"Identifier";"Content type";"Title"
;;;"rcu-aire-a";"UrbanVocabularyTerm";"Aire A du centre historique"
;;;"rcu-art-395-a-405";"UrbanVocabularyTerm";"+ articles 395 à 405 du CWATUPE"
;;;"rcu-aire-b";"UrbanVocabularyTerm";"Aire B de la première couronne"
;;;"rcu-aire-c1";"UrbanVocabularyTerm";"Aire C1 de la seconde couronne à habitat dense"
;;;"rcu-aire-c2";"UrbanVocabularyTerm";"Aire C2 de la seconde couronne à habitat non dense"
;;;"rcu-aire-c3";"UrbanVocabularyTerm";"Aire C3 de la seconde couronne à habitat dense – Mesvin"
;;;"rcu-aire-c4";"UrbanVocabularyTerm";"Aire C4 de la seconde couronne à habitat dense – St Symphorien"
;;;"rcu-aire-c5";"UrbanVocabularyTerm";"Aire C5 de la seconde couronne à habitat dense – Bon Vouloir"
;;;"rcu-aire-d1";"UrbanVocabularyTerm";"Aire D1 de centre villageois"
;;;"rcu-aire-d2";"UrbanVocabularyTerm";"Aire D2 de village"
;;;"rcu-aire-d3";"UrbanVocabularyTerm";"Aire D3 d'habitat suburbain"
;;;"rcu-aire-d4";"UrbanVocabularyTerm";"Aire D4 hors zones urbanisables"
;;;"rcu-aire-d5";"UrbanVocabularyTerm";"Aire D5 de village patrimonial"
;;;"rcu-art-417-a-420";"UrbanVocabularyTerm";"+ articles 417 à 420 du CWATUPE (St Denis)"
;;;"rcu-aire-e";"UrbanVocabularyTerm";"Aire E territoires à vocation industrielle"
;;;"rcu-aire-f";"UrbanVocabularyTerm";"Aire F territoires des ensembles urbanistiques"
;;;"rcu-aire-g";"UrbanVocabularyTerm";"Aire G territoires d'espaces boisés"
;;;"rcu-aire-h1";"UrbanVocabularyTerm";"Aire H1 grands ensembles à usage collectif de la première couronne"
;;;"rcu-aire-h2";"UrbanVocabularyTerm";"Aire H2 grands ensembles à usage collectif de la seconde couronne"
;;;"rcu-perimetre";"UrbanVocabularyTerm";"+ périmètre : néolithique de Spienne"
;;;"rcu-parc-vallees";"UrbanVocabularyTerm";"+ Parc naturel des vallées"
