"startpoint";"replicata_export_date";"parent";"id";"type";"title"
"Start point";"Export date";"Parent";"Identifier";"Content type";"Title"
;;;"ssc-habitat-urbain-centre-ville";"UrbanVocabularyTerm";"Zone d'habitat urbain de centre-ville"
;;;"ssc-habitat-urbain-premiere-couronne";"UrbanVocabularyTerm";"Zone d'habitat urbain de première couronne"
;;;"ssc-habitat-urbain-seconde-couronne";"UrbanVocabularyTerm";"Zone d'habitat urbain de seconde couronne"
;;;"ssc-habitat-villageois-centralite-suburbaine";"UrbanVocabularyTerm";"Zone d'habitat villageois et de centralité suburbaine"
;;;"ssc-habitat-suburbain";"UrbanVocabularyTerm";"Zone d'habitat suburbain"
;;;"ssc-services-publics";"UrbanVocabularyTerm";"Zone de services publics et d'équipements communautaires"
;;;"ssc-industrielle";"UrbanVocabularyTerm";"Zone industrielle"
;;;"ssc-services-publics-verte";"UrbanVocabularyTerm";"Zone de services publics et d'équipements communautaires verte"
;;;"ssc-militaire";"UrbanVocabularyTerm";"Zone militaire"
;;;"ssc-activites-eco-mixtes-amdiff";"UrbanVocabularyTerm";"Zone d'activités économiques mixtes à aménagement différé"
;;;"ssc-industrielle-verte";"UrbanVocabularyTerm";"Zone industrielle verte"
;;;"ssc-habitat-urbain-premiere-couronne-amdiff";"UrbanVocabularyTerm";"Zone d'habitat urbain de première couronne à aménagement différé"
;;;"ssc-habitat-urbain-secode-couronne-amdiff";"UrbanVocabularyTerm";"Zone d'habitat urbain de seconde couronne à aménagement différé"
;;;"ssc-services-publics-amdiff";"UrbanVocabularyTerm";"Zone de services publics et d'équipements communautaires à aménagement différé"
;;;"ssc-activites-eco-tertiaires-amdiff";"UrbanVocabularyTerm";"Zone d'activités économiques tertiaires à aménagement différé"
;;;"ssc-habitat-urbain-amdiff";"UrbanVocabularyTerm";"Zone d'habitat urbain à aménagement différé"
;;;"ssc-extraction";"UrbanVocabularyTerm";"Zone d'extraction"
;;;"ssc-loisirs-sejour";"UrbanVocabularyTerm";"Zone de loisirs et de séjours"
;;;"ssc-agricole";"UrbanVocabularyTerm";"Zone agricole"
;;;"ssc-vert-social";"UrbanVocabularyTerm";"Zone d'espace vert social"
;;;"ssc-vert-eco";"UrbanVocabularyTerm";"Zone d'espace vert écologique"
;;;"ssc-vert-mixte";"UrbanVocabularyTerm";"Zone d'espace vert mixte"
;;;"ssc-naturelle";"UrbanVocabularyTerm";"Zone naturelle"
;;;"ssc-forestiere";"UrbanVocabularyTerm";"Zone forestière"
;;;"ssc-forestiere-mixte";"UrbanVocabularyTerm";"Zone forestière mixte"
;;;"ssc-vert-amdiff";"UrbanVocabularyTerm";"Zone d'espace vert à aménagement différé"
;;;"ssc-activites-eco-mixtes";"UrbanVocabularyTerm";"Zone d'activités économiques mixtes"
;;;"ssc-activites-eco-tertiaires";"UrbanVocabularyTerm";"Zone d'activités économiques tertiaires"
;;;"ssc-reservation";"UrbanVocabularyTerm";"+ Zone de réservation"
;;;"ssc-perimetre-parc";"UrbanVocabularyTerm";"+ Zone de périmètre de parc"
;;;"ssc-interet-culturel";"UrbanVocabularyTerm";"+ Zone d'intérêt culturel, esthétique et historique"
;;;"ssc-interet-paysager";"UrbanVocabularyTerm";"+ Zone d'intérêt paysager"
