Workflow,State,Permission,Roles
folder_workflow,visible,Modify portal content,"Manager, Owner, Editor, Site Administrator"
folder_workflow,visible,Access contents information,Anonymous
folder_workflow,visible,View,Anonymous
folder_workflow,private,Modify portal content,"Manager, Owner, Editor, Site Administrator"
folder_workflow,private,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
folder_workflow,private,View,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
folder_workflow,published,Modify portal content,"Manager, Owner, Editor, Site Administrator"
folder_workflow,published,Access contents information,Anonymous
folder_workflow,published,View,Anonymous
intranet_folder_workflow,internal,Modify portal content,"Manager, Owner, Editor, Site Administrator"
intranet_folder_workflow,internal,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_folder_workflow,internal,View,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_folder_workflow,private,Modify portal content,"Manager, Owner, Editor, Site Administrator"
intranet_folder_workflow,private,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
intranet_folder_workflow,private,View,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
intranet_workflow,internally_published,Change portal events,"Manager, Site Administrator"
intranet_workflow,internally_published,Modify portal content,"Manager, Site Administrator"
intranet_workflow,internally_published,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_workflow,internally_published,View,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_workflow,internal,Change portal events,"Manager, Owner, Editor, Site Administrator"
intranet_workflow,internal,Modify portal content,"Manager, Owner, Editor, Site Administrator"
intranet_workflow,internal,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_workflow,internal,View,"Manager, Owner, Editor, Reader, Contributor, Member, Site Administrator"
intranet_workflow,pending,Change portal events,"Manager, Reviewer, Site Administrator"
intranet_workflow,pending,Modify portal content,"Manager, Reviewer, Site Administrator"
intranet_workflow,pending,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Member, Reviewer, Site Administrator"
intranet_workflow,pending,View,"Manager, Owner, Editor, Reader, Contributor, Member, Reviewer, Site Administrator"
intranet_workflow,private,Change portal events,"Manager, Owner, Editor, Site Administrator"
intranet_workflow,private,Modify portal content,"Manager, Owner, Editor, Site Administrator"
intranet_workflow,private,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
intranet_workflow,private,View,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
intranet_workflow,external,Change portal events,"Manager, Site Administrator"
intranet_workflow,external,Modify portal content,"Manager, Site Administrator"
intranet_workflow,external,Access contents information,Anonymous
intranet_workflow,external,View,Anonymous
one_state_workflow,published,Change portal events,"Manager, Owner, Editor, Site Administrator"
one_state_workflow,published,Modify portal content,"Manager, Owner, Editor, Site Administrator"
one_state_workflow,published,Access contents information,Anonymous
one_state_workflow,published,View,Anonymous
plone_workflow,visible,Change portal events,"Manager, Owner, Editor, Site Administrator"
plone_workflow,visible,Modify portal content,"Manager, Owner, Editor, Site Administrator"
plone_workflow,visible,Access contents information,Anonymous
plone_workflow,visible,View,Anonymous
plone_workflow,pending,Change portal events,"Manager, Reviewer, Site Administrator"
plone_workflow,pending,Modify portal content,"Manager, Reviewer, Site Administrator"
plone_workflow,pending,Access contents information,Anonymous
plone_workflow,pending,View,Anonymous
plone_workflow,private,Change portal events,"Manager, Owner, Editor, Site Administrator"
plone_workflow,private,Modify portal content,"Manager, Owner, Editor, Site Administrator"
plone_workflow,private,Access contents information,"Manager, Owner, Reader, Editor, Contributor, Site Administrator"
plone_workflow,private,View,"Manager, Owner, Reader, Editor, Contributor, Site Administrator"
plone_workflow,published,Change portal events,"Manager, Site Administrator"
plone_workflow,published,Modify portal content,"Manager, Site Administrator"
plone_workflow,published,Access contents information,Anonymous
plone_workflow,published,View,Anonymous
simple_publication_workflow,pending,Change portal events,"Manager, Reviewer, Site Administrator"
simple_publication_workflow,pending,Modify portal content,"Manager, Reviewer, Site Administrator"
simple_publication_workflow,pending,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Reviewer, Site Administrator"
simple_publication_workflow,pending,View,"Manager, Owner, Editor, Reader, Contributor, Reviewer, Site Administrator"
simple_publication_workflow,private,Change portal events,"Manager, Owner, Editor, Site Administrator"
simple_publication_workflow,private,Modify portal content,"Manager, Owner, Editor, Site Administrator"
simple_publication_workflow,private,Access contents information,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
simple_publication_workflow,private,View,"Manager, Owner, Editor, Reader, Contributor, Site Administrator"
simple_publication_workflow,published,Change portal events,"Manager, Owner, Editor, Site Administrator"
simple_publication_workflow,published,Modify portal content,"Manager, Owner, Editor, Site Administrator"
simple_publication_workflow,published,Access contents information,Anonymous
simple_publication_workflow,published,View,Anonymous
comment_review_workflow,pending,Modify portal content,"Manager, Owner, Reviewer"
comment_review_workflow,pending,Access contents information,"Manager, Owner, Reviewer"
comment_review_workflow,pending,Reply to item,
comment_review_workflow,pending,View,"Manager, Owner, Reviewer"
comment_review_workflow,published,Modify portal content,Manager
comment_review_workflow,published,Access contents information,
comment_review_workflow,published,Reply to item,
comment_review_workflow,published,View,
